,Time Length,Window Accuracy,Window Size
61,1000.0,51.318999999999974,61
62,1000.0,51.528399999999976,62
63,1000.0,51.33409999999998,63
64,1000.0,51.23410000000003,64
65,1000.0,51.160199999999996,65
66,1000.0,51.47079999999996,66
67,1000.0,51.04540000000005,67
68,1000.0,51.29770000000001,68
69,1000.0,51.20440000000002,69
70,1000.0,51.16860000000004,70
71,1000.0,51.25460000000007,71
72,1000.0,51.337299999999935,72
73,1000.0,51.31179999999997,73
74,1000.0,51.05849999999997,74
75,1000.0,51.31080000000003,75
76,1000.0,51.08000000000003,76
77,1000.0,51.46290000000012,77
78,1000.0,51.446200000000026,78
79,1000.0,51.09089999999996,79
80,1000.0,51.22519999999995,80
81,1000.0,51.30539999999997,81
82,1000.0,51.118799999999965,82
83,1000.0,51.38320000000005,83
84,1000.0,51.470699999999965,84
85,1000.0,51.18480000000003,85
86,1000.0,51.33279999999997,86
87,1000.0,51.6678,87
88,1000.0,51.49810000000002,88
89,1000.0,51.294600000000045,89
90,1000.0,51.606400000000036,90
91,1000.0,51.53619999999996,91
92,1000.0,51.306899999999935,92
93,1000.0,51.28979999999998,93
94,1000.0,51.26810000000001,94
95,1000.0,51.49999999999997,95
96,1000.0,51.215699999999984,96
97,1000.0,51.88589999999999,97
98,1000.0,51.70400000000008,98
99,1000.0,51.57289999999999,99
100,1000.0,51.54870000000001,100
101,1000.0,51.71180000000002,101
102,1000.0,51.92509999999989,102
103,1000.0,51.46329999999996,103
104,1000.0,51.166500000000006,104
105,1000.0,51.36069999999995,105
106,1000.0,51.36329999999998,106
107,1000.0,51.22389999999996,107
108,1000.0,51.80320000000004,108
109,1000.0,51.4029,109
110,1000.0,51.58250000000004,110
111,1000.0,51.3694000000001,111
112,1000.0,51.89090000000009,112
113,1000.0,51.70499999999995,113
114,1000.0,51.78000000000004,114
115,1000.0,51.665499999999994,115
116,1000.0,51.29929999999995,116
117,1000.0,51.718599999999995,117
118,1000.0,51.29420000000006,118
119,1000.0,51.401099999999985,119
120,1000.0,51.580700000000036,120
121,1000.0,51.28069999999997,121
122,1000.0,51.52119999999993,122
